transaction_id,customer_id,transaction_date,amount,category,merchant,city,state,is_international,card_type
32d31488-bb51-41c6-9178-f773617d996f,C1080,22-03-2025,6.35,Entertainment,Cooper-Trujillo,East Ryan,MD,No,Gold
29143434-a9d1-4672-9ebb-3ac6cd524093,C1578,10-05-2023,214.48,Shopping,"White, Zimmerman and Munoz",Lake Alexis,UT,Yes,Gold
ea841a3c-498a-42a8-9093-d3a577ddf7ad,C1700,14-11-2024,72.58,Travel,Fletcher-Webster,Bradleyview,MI,Yes,Silver
bc7a9d7c-6e3e-49cb-8bb9-a914bfe9add7,C1415,29-08-2023,236.99,Healthcare,Gould-Ortiz,Port Toddfort,KS,No,Platinum
c97d10ea-ad42-4307-8a38-63705a0fe7ed,C1487,03-05-2024,84.7,Dining,Nolan-Donaldson,West Brandon,AR,Yes,Platinum
f1cc958c-3ff9-4f8a-91cd-490449896bde,C1175,08-03-2024,108.5,Travel,Davis-Duncan,North Matthewland,WY,No,Gold
7107a40e-60a4-4600-be6c-9239d433bc3e,C1660,01-03-2025,78.48,Entertainment,"Romero, Rodriguez and Paul",West Mariemouth,WI,Yes,Platinum
8a28fb00-dda5-4371-adad-e37a19bf3a60,C1941,07-01-2025,199.87,Dining,Lewis-Hill,North John,MT,Yes,Silver
188d6e91-1a2e-44b8-9c67-1b13de6f2f1b,C1922,07-11-2024,132.39,Fuel,"Bailey, Hines and Kemp",Port Michael,WV,No,Silver
022337b5-a82a-4f97-9a65-95810bd4fa51,C1946,09-02-2025,73.66,Travel,Miller LLC,Jonestown,MD,No,Platinum
f5a5a874-a027-42f5-a5e1-2c55425d938b,C1577,05-04-2024,202.62,Dining,Porter-French,Marshfurt,DE,Yes,Gold
38f1d642-1db6-4541-99b8-f055bcdce5f3,C1016,04-09-2024,28.14,Shopping,"Stone, Gray and Park",West Rebecca,WA,Yes,Platinum
2cf541e7-3493-426b-8cf1-c6883da5ed5b,C1840,15-01-2024,17.12,Healthcare,Andersen and Sons,Franktown,LA,Yes,Gold
37155b71-e303-41dc-a27c-6bf2c3b54b74,C1166,10-04-2025,17.48,Shopping,Kelly Inc,East Williamview,ND,No,Platinum
86b5527f-6aa2-4077-ac81-7964c42405a4,C1918,25-01-2025,40.65,Entertainment,"Munoz, Strickland and Reeves",East Wesley,FL,No,Platinum
9281146a-0f06-4310-8af7-e636e23e4f6a,C1143,20-10-2024,27.27,Travel,"Taylor, Montgomery and Boyer",Lake Kimberlyville,NC,No,Silver
